Title,Description
Senior QA Manual/Automation (Python),"Project Description:<br>Development of monitoring and diagnostics system. It fulfils both local and remote data access and analytics requirement, as well as local and remote troubleshooting purpose.<br><br>Responsibilities:<br>Work with the Product Owner to define test cases that prove the acceptance criteria for incoming user stories for the Web apps.<br>• Create functional and non-functional UI<br>• Communicate clearly in English with the development engineers regarding test expectations and defects.<br> • Use defect tracking tools to log and clearly describe defects and conditions for reproducing them.<br> • Contribute to design and estimation conversations.<br> • Contribute to the quality of the solutions by identifying issues in architecture, design and implementation<br> • Contribute to our Agile development process as a scrum team member from requirements analysis and design up through final feature acceptance and deployment<br><br>Mandatory Skills Description:<br><b>• At least 6 years of creating and executing test cases</b><br><b>• IoT experience, protocols Modbus, OPC</b><br><b>• timeseries DBs</b><br>• Working knowledge of functional and non-functional software testing, the software test life cycle, and various test design methodologies (function, performance, accessibility, scenario etc.).<br>• Test cases creation and execution based on Customer and Software requirements<br>• Python 3+ years of experience<br>• Experience of setting up testing framework from scratch<br>• Experience in testing of Backend (API) and data quality<br>• Knowledge of API testing tooling like Postman, Swagger<br>• DBs basics and SQL database usage expert<br><b>• Familiar with IoT and Time series data handing knowledge</b><br>• Linux knowledge<br><b>• Experience with AWS services</b><br>• CI/CD (Jenkins)<br>• Experience with Performance testing<br>• Good soft skills in communication.<br>• Exemplary verbal and written communication skills (English).<br>• Creative problem-solver capable of creating and reproducing interesting software bugs.<br><br>Nice-to-Have Skills:<br>- Experience in cooperation with QA automation team<br>- AWS Green Grass<br>- Experience or knowledge of Industrial protocols (Modbus)<br><br>Languages:<br>English: B2 Upper Intermediate"
Middle/Senior Full-Stack Developer (Django+React),"Looking for Middle/Senior Full-Stack Developer (Django+React)<br>Duration 6+ month<br>Start ASAP<br><br><b>Requirements:</b><br>Back:<br>- 3-4+ years of experience in commercial development in Python language<br>- Experience in commercial development with Django Framework, <br>- Django REST and popular libraries (Celery, Pytest, etc.)<br>- Experience with relational DBMS (MySql or PostgreSql)<br>- Skills in Unit testing<br>Front:<br>- Experience with HTML5, CSS3, JavaScript at least 2,5 year<br>- Skills and experience in valid, cross-browser and semantic layouts, responsive sites, knowledge of Material, Bootstrap or analogues<br>- Experience with React, Redux, Redux Toolkit, TypeScript<br>- Skills in Unit testing<br>-  At least upper-intermediate  level of English"
Senior Python Developer,"Newsoft is looking for a Senior Python Developer with experience in React to join the company. The project is in the cybersecurity domain and is dedicated to protecting devices, including various types of equipment, from cyber risks. <br><br>Requirements:<br>▪️ 5+ years of professional software development experience.<br>▪️ Expertise in Python with over 4 years.<br>▪️ Strong experience in web development utilizing Flask and associated frameworks.<br>▪️ Experience in frontend engineering using React, emphasizing the construction of complex web applications.<br>▪️ Understanding of RESTful APIs and the ability to integrate front-end interfaces with back-end systems.<br>▪️ Solid understanding of SQL, with a preference for Postgres, and hands-on experience with ORM technologies such as SqlAlchemy, Django ORM, etc.<br>▪️ Proficient use of Git for version control.<br>▪️ At least Upper-intermediate level of English.<br><br>Nice-to-Have Skills:<br>▪️ Experience with well-known tools like Docker and Kubernetes for containerization.<br>▪️ Experience working with AWS or other cloud service providers.<br><br>Responsibilities: <br>▪️ Work collaboratively with product management and design teams to create visually engaging, interactive interfaces. <br>▪️ Create high-quality, scalable, reusable code to guarantee efficient and seamless user experiences. <br>▪️ Conduct code reviews, offering valuable feedback to maintain code quality and uphold best practices. <br>▪️ Collaborate closely with backend developers and quality assurance teams to integrate and effectively test front-end components. <br>▪️ Contribute to the ongoing improvement of development processes and methodologies within the team.<br><br>Interview stages: <br>▪️ HR interview (30 minutes).<br>▪️ Technical interview (1 hour).<br>▪️ Interview with the customer (1 hour).<br>▪️ Job offer🎉🎉🎉<br><br>We offer:<br>▪️ Competitive salary + bonuses.<br>▪️ Challenging tasks and projects.<br>▪️ Opportunities for professional development and growth.<br>▪️ Flexible working hours.<br>▪️ New hardware.<br>▪️ Free English lessons.<br>▪️Table tennis and yoga classes.<br>▪️ Availability of generators and Starlinks in the office.<br>▪️ Small gym and table tennis in the office.<br>▪️ Adjustable height tables.<br>▪️ Regular office fruit delivery and other benefits.<br><br>Let’s create value together!"
QA Manual/Automation Engineer (with Python),"Project Description:Development of monitoring and diagnostics system. It fulfils both local and remote data access and analytics requirement, as well as local and remote troubleshooting purpose.<br>Responsibilities:<br>Work with the Product Owner to define test cases that prove the acceptance criteria for incoming user stories for the Web apps.<br>• Create functional and non-functional UI<br>• Communicate clearly in English with the development engineers regarding test expectations and defects.<br> • Use defect tracking tools to log and clearly describe defects and conditions for reproducing them.<br> • Contribute to design and estimation conversations.<br> • Contribute to the quality of the solutions by identifying issues in architecture, design and implementation<br> • Contribute to our Agile development process as a scrum team member from requirements analysis and design up through final feature acceptance and deployment<br>Mandatory Skills Description:<br>• At least 6 years of creating and executing test cases<br>• Working knowledge of functional and non-functional software testing, the software test life cycle, and various test design methodologies (function, performance, accessibility, scenario etc.).<br>• Test cases creation and execution based on Customer and Software requirements<br>• Python 3+ years of experience<br>• Experience of setting up testing framework from scratch<br>• Experience in testing of Backend (API) and data quality<br>• Knowledge of API testing tooling like Postman, Swagger<br>• DBs basics and SQL database usage expert<br>• Familiar with IoT and Time series data handing knowledge<br>• Linux knowledge<br>• Experience with AWS services<br>• CI/CD (Jenkins)<br>• Experience with Performance testing<br>• Good soft skills in communication.<br>• Exemplary verbal and written communication skills (English).<br>• Creative problem-solver capable of creating and reproducing interesting software bugs.<br>Nice-to-Have Skills:<br>- Experience in cooperation with QA automation team<br>- AWS Green Grass<br>- Experience or knowledge of Industrial protocols (Modbus)"
Продуктова компанія перебуває у пошуку Python Engineer,"✅ У зв'язку із розширенням продуктова компанія шукає у свою команду Python Engineer. <br><br>✅ Компанія спеціалізується на розробці передових фінтех продуктів для іноземних інвестиційних компаній. Мають 5-річний досвід створенню систем, які сприяють більш точним прогнозам та ефективним рішенням на фінансових ринках.<br><br>✅ Зараз створюватиметься продукт з нуля з використанням Data Science рішення для трейдингу в криптобіржах.<br>Фахівець буде працювати напряму з С-левелом. Зможе впливати на вибір технологій і впливатиме на ключові рішення розвитку продукту.<br>Збирається команда із Python та Data Science спеціалістів.<br><br>⚡ Пропонують: техніку, яка необхідну спеціалісту, опціони/бонуси, гнучкий графік роботи.<br><br>Формат роботи: робота в офісі (м. Київ).<br><br>Необхідний досвід розробки на Python, API фреймворки та асинхронність.<br>Буде плюсом: досвід з ML, досвід з криптовалютами."
Cyber Security QA with Python,"We're seeking a skilled Software Engineer to spearhead the automation of REST API security testing by adopting existing open-source tools and frameworks. If you're passionate about cutting-edge technology and have a knack for clean coding, we want you to join our dynamic team.<br><br><b>Requirements:</b><br>- Perfect knowledge of data structures, computation complexity, and algorithms.<br>- Proven experience in clean coding practices.<br>- A team player with excellent collaboration skills.<br>- Strong ownership mentality and accountability for features shipped.<br>- Demonstrated interest in the broader product and feature vision.<br>- Comfortable with writing comprehensive documentation and specifications.<br>  <br><b>Preferred Qualifications (A Big Plus):</b><br>- Google Cloud certification.<br>- Python certification.<br>- Kubernetes certification.<br>- Terraform certification.<br>- Experience with Google Spanner, BigQuery, Elastic, Redis, and other databases.<br>- Expertise in SSO, OAuth2, OIDC, SAML.<br><br><b>Responsibilities:</b><br>- Lead the automation efforts for REST API security testing, leveraging existing open-source tools and frameworks.<br>- Collaborate with cross-functional teams to ensure seamless integration of security testing processes.<br>- Take ownership of features from conception to implementation, ensuring high-quality delivery.<br>- Contribute to the product vision with a keen interest in innovation and improvement.<br>- Demonstrate a strong ability to learn independently, coupled with a can-do attitude and excellent interpersonal skills.<br>- Proficiently write documentation, specifications, and conduct unit testing.<br><br><b>We offer:</b><br>• Full-time employment;<br>• Weekend on Ukrainian calendar holidays;<br>• Opportunities for career and salary development;<br>• Partial compensation for English and sports;<br>• In-house speaking club EN;<br>• Opportunities for self-realization, professional and stable career growth;<br>• Paid leave and sick leave;<br>• Accounting support;<br>• Corporate events, team building, etc.<br><br>If you're ready to make a significant impact in a collaborative environment and have the skills we're looking for, apply now! Join us in shaping the future of secure API development."
Senior Full Stack Python Developer,"We have a request from our potential client in Japan. The customer is looking for a Senior Full Stack Python Developer (or Back End) with good spoken English. Below, we propose to consider detailed requirements and a description of the client’s company:<br>The company is a Tokyo-based company which focuses on solving problems in English as Second Language industry. Over 500k students aged 6-15 and counting.<br>New feature development and current feature improvement. Working in a team and whether or not that person gets to work on maintenance or new features depends on what’s in the immediate sprint. So the person should be prepared to do both. But on that note, we will definitely reject candidates who’s just worked on building things from zero to, you know, to somewhat in the state.<br><br><b>Technology:</b><br>Must-have technologies for Back End Developer: Django, AWS<br>Must-have technologies for Full Stack Developer: Python, TypeScript, Vue.js or React.js, AWS (80% back/20% front)<br>- Python, Django, experience in migration from monolith to microservices<br>- Development experience in a team using a version control system such as Git or SVN<br>- Experience in improving release cycles through the application of CI<br><br><b>Responsibilities:</b><br>- Back-end development using Python and Django<br>- Front-end development using TypeScript and Vue.js<br>- Infrastructure construction and operation using AWS<br>- QA and release such as introduction and improvement of automated tests Cycle improvement/natural language processing/speech evaluation<br>- Development and operation of the platform<br>- Scrum development using 2-week sprints<br>- Code version control using Github<br>- Performance improvement<br>- Consideration and discussion of development items based on user feedback, etc.<br><br><b>Nice to Have:</b><br>- Experience working with React or Vue.<br>- Development of iOS and Android apps (the developer must have a good sense of how things work (the user interface and how user interaction in general works in mobile). Understanding how web communicates with mobile devices<br>- Business-level English skills<br>- Information engineering or related degree<br>- Experience in developing apps using voice"
Senior Python Backend Developer,"Drive-thru restaurants have employees multi-task by taking orders, packing food, taking payments, and more. This translates to long wait times and extremely high stress for employees. Currently, the restaurants are experiencing a major hiring crisis due to this extreme stress and increasing minimum wage.<br>Most quick-service restaurants had begun to search for a more elegant solution that improves customer experience, increases speed, accuracy, average ticket size, and reduces employee stress. <br>Our AI greets the customer, takes the order, and inserts it into the point of sale freeing up the employees to focus on other tasks.<br>Understanding an order in the drive-thru using voice is not an easy task and requires deep technology to get to the required high completion rate of orders. The challenges include a very noisy environment, unique speech patterns due to the customer's indecisiveness, different accents, gender, ages, speech from other people in the car, complex multi-turn unstructured conversation, low latency, and more. In order to solve big challenges, we are developing our own speech and natural language understanding tech from the ground up.<br><br>We are a group of experts in Speech, NLU, and Backend SW. We strongly believe in impact-driven employment where you can work from wherever you're most comfortable and effective. Because of the myriad of challenges and the fast pace, each team member gets to experience a lot of professional growth and ownership.<br><br>About the Role & Responsibilities:<br>- Our backend is developed all in Python running in the cloud over k8s.<br>- It's not a typical backend interacting with a UI frontend. It handles audio streams in real-time and runs our key AI algorithms.<br>- The role involves designing and implementing complex parts of the backend. This involves distributed architecture as well as concurrency while taking into consideration performance and scale.<br><br>Requirements<br>- Minimum 5 years of experience as non-web developer<br>- 5+ years experience in Python<br>- Experience in SW design and backend dev<br>- Developed and deployed multiple projects used in production<br>- Experience with Docker, Kubernetes, Microservices, CI/CD, Clouds (AWS/GCP/Azure)<br>- experience with async IO, threading, or concurrent programming<br>- deep control of Python 3 and its standard library.<br>- Lead experience - big advantage <br><br><br>Preferred Qualifications:<br>- Experience with real-time audio processing<br><br>Interview process:<br>- Intro call with HR (30 min)<br>- Live Coding Exercise ( 3 hours) <br>- Technical Interview (1.5 hours)<br><br>Join us to be a part of an amazing team with great vibes, a company with a lot of freedom of movement, interesting and unique challenges, and an opportunity to influence and build something big."
Senior Data Scientist (Python),"Unleash your ambition as a Senior Data Scientist! We are looking for a professional who not only has impressive experience in data science but is also ready to take on a driver role, contributing to our Data Competency Center within Sigma Software. The role will involve Solution assessment, pre-sales activities under supervision, architecture design composition, and more.<br><br>PROJECT<br><br>We are a team of 160+ professionals. We are very different, but a few things make us a true team: a genuine passion for our work, friendliness, and inexhaustible optimism, no matter what.<br><br>We use Agile with technical excellence in place and Kanban approaches to do great work and make customers happy. Our goal is to offer our clients the best expertise in different domains to bring value to their business and become the best tech partner.<br><br>Job Description<br>–	Work closely with the client (PO) as well as other Team Leads to clarify the tech requirements and expectations<br>–	Translate complex business problems into actionable data-driven questions or hypotheses. This will involve working with stakeholders to understand the underlying issues and defining the specific questions that need to be answered through data analysis<br>–	Collect data from various sources, identify and address data quality issues, and convert the data into a format suitable for analysis and modeling. This will involve using data wrangling techniques, data cleaning tools, and data quality checks<br>–	Apply statistical methods, data visualization techniques, and machine learning algorithms to uncover hidden patterns, trends, and anomalies within the data. These insights will inform the development of effective models and solutions<br>–	Select and apply appropriate machine learning or statistical models to address specific business problems. This involves understanding the problem at hand, choosing the right algorithms, training the models on the prepared data, and evaluating their performance<br>–	Work with engineers to integrate trained models into production environments, ensuring that they can be used to make real-time predictions or decisions. This involves deploying the models, monitoring their performance, and maintaining them over time<br>–	Effectively communicate complex data-driven insights and recommendations to stakeholders in a clear, concise, and actionable manner. This involves using storytelling techniques, visualizations, and presentations to effectively convey the findings and their implications for business decisions<br>–	Continuously research and stay up-to-date with the latest advancements in data science, including new algorithms, techniques, and tools, and explore emerging technologies and methodologies. This involves attending conferences, reading research papers, and experimenting with new approaches<br>–	Suggest and contribute to training and improvement plans regarding analytical data engineering skills, standards, and processes<br><br>Qualifications<br>–	3-5+ years of experience with Python or R<br>–	Experience with AWS/Azure<br>–	Expertise in machine learning algorithms, including linear regression, clustering, classification, and recommendation systems<br>–	Proven ability to create clear, concise, and compelling visualizations using tools like ggplot2, matplotlib, or plotly, Power BI, Tableau, and Qlik<br>–	Conceptual understanding of data analysis fundamentals, encompassing ETL, data warehousing, and unstructured data<br>–	A comprehensive grasp of deep learning fundamentals, including activation functions, backpropagation, CNNs, Transformers, transfer learning, and generative models<br>–	Expertise in evaluating and selecting the most appropriate deep learning model for a given task, including assessing model performance metrics, identifying potential biases, and comparing different model architectures<br><br><br>PERSONAL PROFILE<br><br>–	Analytical and Problem-Solving Skills:<br>–	Demonstrated problem-solving and analytical thinking skills, with a proven track record of applying these skills to real-world challenges to identify problems, gather relevant data, and develop creative solutions<br>–	Continuous learning mindset, ensuring you stay up-to-date with the latest advancements in deep learning and adapt skills accordingly<br>–	Actively participate in the evaluation of new tools for analytical data engineering or data science<br><br>Реалізуй свої амбіції на посаді Senior Data Scientist! Ми шукаємо професіонала, який не тільки має вражаючий досвід у галузі науки про дані, але й готовий взяти на себе роль лідера, що сприятиме розвитку нашого Центру компетенції даних у Sigma Software. Посада включатиме оцінку рішень, передпродажну діяльність під наглядом, розробку архітектури та багато іншого.<br><br>В нашій команді понад 160 професіоналів. Ми дуже різні, але є кілька речей, які роблять нас справжньою командою: непідробна пристрасть до своєї роботи, дружелюбність і невичерпний оптимізм, незважаючи ні на що.<br><br>Ми використовуємо Agile з технічною досконалістю та підходами Kanban, щоб виконувати свою роботу на високому рівні та робити клієнтів щасливими. Наша мета — запропонувати нашим клієнтам найкращу експертизу в різних галузях, щоб принести користь їхньому бізнесу та стати найкращим технічним партнером.<br><br>ВИМОГИ<br><br>–	3-5 років досвіду роботи з Python або R<br>–	Досвід роботи з AWS/Azure<br>–	Експертиза в алгоритмах машинного навчання, включаючи лінійну регресію, кластеризацію, класифікацію та рекомендаційні системи<br>–	Підтверджена здатність створювати чіткі, лаконічні та переконливі візуалізації за допомогою таких інструментів, як ggplot2, matplotlib або plotly, Power BI, Tableau та Qlik<br>–	Концептуальне розуміння основ аналізу даних, включаючи ETL, сховища даних та неструктуровані дані<br>–	Комплексне розуміння основ глибинного навчання, включаючи функції активації, зворотне поширення, нейронні мережі, трансформатори, трансферне навчання та генеративні моделі<br>–	Експертиза в оцінці та виборі найбільш відповідної моделі глибинного навчання для конкретної задачі, включаючи аналіз показників ефективності моделі, виявлення потенційних викривлень та порівняння різних архітектур<br><br>ОБОВ’ЯЗКИ<br><br>–	Тісно співпрацювати з клієнтом (PO), а також з іншими Team Lead для уточнення технічних вимог та очікувань<br>–	Перетворювати складні бізнес-проблеми на конкретні запитання або гіпотези, що ґрунтуються на даних. Це передбачає роботу зі стейкхолдерами, щоб зрозуміти основні проблеми та визначити конкретні питання, на які потрібно відповісти за допомогою аналізу даних<br>–	Збирати дані з різних джерел, визначати та вирішувати проблеми якості даних, а також перетворювати дані в формат, придатний для аналізу та моделювання. Це передбачає використання методів обробки даних, інструментів очищення даних та перевірку якості даних<br>–	Застосовувати статистичні методи, методи візуалізації даних та алгоритми машинного навчання, щоб виявити приховані закономірності, тенденції та аномалії в даних. Ці знання допоможуть розробити ефективні моделі та рішення<br>–	Підбирати та застосовувати відповідні моделі машинного навчання або статистичні моделі для вирішення конкретних бізнес-проблем. Це передбачає розуміння проблеми, вибір правильних алгоритмів, тестування моделей на підготовлених даних та оцінку їхньої ефективності<br>–	Співпрацювати з інженерами, для інтеграції натренованих моделей у виробниче середовище, забезпечуючи можливість їх використання для прогнозування або прийняття рішень у реальному часі. Це передбачає розгортання моделей, моніторинг їхньої продуктивності та підтримку з часом<br>–	Ефективно доносити до зацікавлених сторін складні аналітичні висновки та рекомендації на основі даних у чіткий, стислий і зрозумілий спосіб, що спонукає до дій. Це передбачає використання технік сторітелінгу, візуалізації та презентацій для ефективного донесення результатів та їхнього впливу на бізнес-рішення<br>–	Постійно досліджувати та бути в курсі останніх досягнень у науці про дані, включаючи нові алгоритми, методи та інструменти, а також вивчати нові технології та методології. Це передбачає відвідування конференцій, вивчення наукових робіт та експерименти з новими підходами<br>–	Пропонувати та долучатися до планів навчання та вдосконалення навичок, стандартів та процесів інженерії аналітичних даних"
Scraping Engineer,"<b>Job Description:</b><br><br>As a Scraping Engineer at GroupBWT, you will play a crucial role in collecting, processing, and analyzing data from various online sources. If you have a passion for data, a strong background in web scraping technologies, and the desire to work on exciting projects, we want to hear from you.<br><br><b>Key Responsibilities:</b><br><br>- Design and implement web scraping solutions using tools like Scrapy, Puppeteer or Playwright.<br>- Develop and maintain web scraping scripts and pipelines for data extraction.<br>- Collaborate with the QA team to ensure data quality and integrity.<br>- Optimize scraping processes for efficiency and scalability.<br>- Monitor and troubleshoot scraping processes to ensure reliability.<br>- Work closely with cross-functional teams to understand data requirements and deliver timely results.<br><br><b>Requirements:</b><br><br>- Bachelor's degree in Computer Science, Information Technology, or a related field (or equivalent work experience).<br>- 1,5+ year of commercial experience as <b>Scraping Engineer</b> (Data Extraction Engineer or similar) <br>- Proven experience in web scraping and data extraction using <b>Scrapy</b>.<br>- Strong proficiency in working with databases, including SQL and RDBMS.<br>- Proficiency in Python programming and scripting.<br>- Familiarity with data cleaning, transformation, and normalization techniques: XPath, RegEx, NLP. <br>- Experience in reverse engineering and analysis of web applications<br>- Strong attention to detail and a commitment to delivering high-quality results.<br>- Ability to work independently and as part of a collaborative team.<br>- Understanding of risks and problems related to web scraping process<br>- Basic skills of linux system administration. <br>- English level: upper-intermediate. ability to participate in daily calls with team<br><br><b>Nice to Have:</b><br><br>- Experience with cloud-based platforms such as AWS or Azure.<br>- Knowledge of data visualization tools and techniques.<br>- Familiarity with NoSQL databases.<br>- Proven experience of overcoming any anti-bot protection system<br><br><b>Benefits:</b><br><br>-20+ paid vacation days.<br>-Paid sick leaves.<br>-Health expenses reimbursement.<br>-Besides team buildings and meal reimbursement, ask our recruiters to tell us more about other benefits we offer to local and remote workers."
Python Developer,"«BG Games» — українська ІТ-компанія, яка спеціалізується на розробці кросплатформених мобільних ігор та додатків. Ми з радістю приймаємо до нашої команди талановитих та енергійних фахівців, які готові працювати над різноманітними проектами та розвивати свої навички.<br><br>Запрошуємо Вас до нашої дочірньої компанії, що була відкрита 2022 року — BG «Crowd». Це міжнародна IT-компанія, що створює навчальні матеріали та освітні платформи для набуття та поглиблення знань з програмування та інформаційних технологій.<br><br>За допомогою створення та розробки алгоритмічних і логічних задач — ми покращуємо та навчаємо штучний інтелект і нейромережі з метою реалізації освітніх проєктів. Нашими партнерами та замовниками послуг є такі корпорації як «Meta», «Google», «Amazon», «Nvidia», «Dell», та багато інших.<br><br>Ми з радістю приймаємо до нашої команди фахівців різного рівня підготовки, маємо великий досвід навчання молодих спеціалістів, постійно розвиваємось — тож завжди раді знайти наших людей!<br><br><b>Працюємо у Дніпрі, та шукаємо кандидатів для роботи унашому комфортному просторі.</b><br><br>Основні обов’язки:<br><br>- Розробка навчальних матеріалів для інформаційних технологій і програмування;<br>- Розв’язання алгоритмічних, математичних та логічних завдань з програмування;<br>- Робота з формулами на мові верстки LaTeX та базові знання з HTML;<br>- Реалізація поставлених тасків;<br>- Творчий підхід до програмування;<br>- Робота в команді.<br><br>Необхідні навички:<br><br>- Знання основ Python;<br>- Алгоритмічне та креативне мислення;<br>- Знання структур даних (графи, дерева, heap, множини);<br>- Знання з дискретної математики та математичного аналізу;<br>- Відповідальність та пильність у виконанні тасок.<br><br>Буде плюсом:<br><br>- Досвід участі в олімпіадах з програмування, в спортивному програмуванні, інформатиці.<br>- Знання матеріалів Т. Кормена, Д. Е. Кнута;<br>- Досвід використання таких онлайн платформ, як LeetCode, CodeForces, SPOJ та Codewars.<br><br>Умови роботи:<br><br>- Зручний графік роботи з 10.00−18.00;<br>- Можливість зростати через менторство та спадкоємність досвіду колег;<br>- Можливість впливати на заробітну плату;<br>- Є ігрова кімната та власна кухня;<br>- Регулярні корпоративи та інвенти.<br><br>Процес відбору кандидатів:<br><br>- Інтерв'ю з HR;<br>- Технічне інтерв'ю з фахівцем;<br>- Виконання тестового завдання.<br><br>Будемо раді бачити тебе у нашій команді!<br><br>З повагою, Поліна HRM «BG Games»"
Networking Engineer,"<b>Job Description</b><br>4+ years of proven experience in Python and C/C++ in Linux environment;<br>Expertise in QA manual and automation <br>Expertise in industrial or embedded software development;<br>System-level understanding of networking technologies;<br>Linux user experience;<br>Good understanding of the host stack protocols such as IPv4/IPv6/TCP/UDP;<br>Good knowledge of build systems (Make, CMake, etc.)<br>OpenWrt expirience;<br>Experience with Git/Gitlab;<br>At least Upper-intermediate English level;<br>Experience with Flask<br><br><b>Job Responsibilities</b><br>Embedded RTOS-based development<br>Maintain an existing codebase<br>Development of different network bridges<br><br><b>Department/Project Description</b><br>Our customer is a global technology leader that is advancing a sustainable energy future for all. They serve customers in the utility, industry and infrastructure sectors with innovative solutions and services across the value chain.<br>We are proposing highly competitive offering and opportunities for professional growth. You’ll have the power to go beyond – doing the work that’s transforming how people, businesses and things connect with each other."
Python Engineer (AI),"Привіт! 👋<br><br>Ми шукаємо мотивованого та орієнтованого на результат Python Engineer, що стане частиною нашої команди та працюватиме над AI платформою, що формує повноцінні подорожі включно з проживанням, транспортацією та активностями на основі вподобань користувачів.<br><br>Обовʼязки<br><br>1. Написання АІ функціоналу системи рекомендацій для awayaway.com.<br>2. Написання PoC, обробка ідей і пропозицій клієнта, Product Owner-а.<br>3. Складання та підтримання актуальної технічної документації проєкту.<br><br>Вимоги<br>1. 1+ років комерційного досвіду з Python.<br>2. Досвід з впровадженням АІ рішень в продукти, розуміння принципів роботи та можливостей/обмежень LLM.<br>3. Досвід роботи з реляційними базами даних (PostgreSQL, MySQL).<br>4. Відмінна письмова і розмовна англійська (від В2, передбачене спілкування з клієнтом).<br>5. Здатність самостійно виконувати задачі та повноцінно підтримувати їх впродовж життєвого циклу.<br><br>Буде плюсом<br>1. Досвід з Fine-tuning комерційних або open-source моделей.<br>2. Досвід менторингу.<br><br>Ми пропонуємо<br><br>- Навчання і менторинг тебе як спеціаліста.<br>- Конкурентна компенсація з регулярними переглядами.<br>- Можливість працювати віддалено та в зручний для тебе час.<br>- Компенсація навчання, літератури, та англійської.<br>- 20 оплачуваних буднів відпустки, 12 днів оплачуваних лікарняних на рік, 2 щомісячних оплачуваних менструальних лівів (для жінок).<br><br>Етапи спілкування:<br>Інтерв'ю- знайомство -- Технічне інтерв'ю -- Тестове завдання<br><br><br>Якщо тобі сподобалася вакансія і ти вважаєш, що зможеш впоратися з описаними обов’язками, сміливо залишай відгук і ми будемо раді познайомитися з тобою на інтерв’ю 👋"
Full-Stack Engineer (Python + React),"A well-funded & growing startup is looking for a strong full-stack engineer specializing in infrastructure backend development. <br><br><b>Requirements: </b><br>5+ years of experience with Python<br>track-record of live apps<br>upper-intermediate English<br><br><b>Key Responsibilities:</b><br><br>1. <b>Development skill:</b> Design, develop, and maintain high-performance backend systems, APIs & user interfaces using the latest technologies and best practices.<br>2. <b>Infrastructure as Code (IaC):</b> Implement Infrastructure as Code principles to automate the provisioning and management of infrastructure resources, ensuring scalability and reliability.<br>3. <b>Cloud Services:</b> Utilize cloud platforms (e.g., AWS, GCP) to build and deploy infrastructure components, including serverless functions, containers, and databases.<br>4. <b>Performance Optimization:</b> Continuously monitor and optimize backend systems for performance, scalability, and efficiency, identifying and resolving bottlenecks.<br>5. <b>Security:</b> Implement security best practices to safeguard data and systems, including encryption, access controls, and vulnerability assessments.<br>6. <b>Database Management:</b> Design and manage databases to store and retrieve data efficiently, considering data modeling, indexing, and query optimization.<br>7. <b>Collaboration:</b> Collaborate with frontend engineers, DevOps teams, and other stakeholders to ensure seamless integration between the frontend and backend systems.<br>8. <b>Testing and Deployment:</b> Implement automated testing and deployment pipelines to ensure the reliability of infrastructure changes.<br>9. <b>Documentation:</b> Maintain clear and up-to-date documentation of infrastructure architecture, processes, and configurations.<br><br>Interview stages:<br>1. call with recruiter (20 mins)<br>2. tech interview (1 hour)<br>3. paid test assignment (2-4 hours)<br>4. call with CTO (30 mins)"
Middle Python Developer,"Partida, a FinTech/IT company with crypto projects around the world, is looking for Python Developer for project work<br><br>Необхідні навички:<br><br>- At least 2 years of experience with Python;<br>- Solid knowledge of Django/Flask Rest frameworks;<br>- Experience with PostgreSQL(SQLAlchemy);<br>- Experience working with Airflow;<br>- Knowledge of AWS, Microservices, and Docker.<br>- Strong problem-solving skills to address technical challenges and troubleshoot issues<br>- Attention to detail;<br>- Ability to self-organize in the format of remote work;<br>- Understanding customer expectations expressed in written/oral form and proposing possible solutions;<br>- Excellent independent and team working skills<br><br>Буде плюсом:<br><br>- Crypto/Blockchain Experience<br>- Basics knowledge of trading<br><br>Обов’язки:<br><br>- Maintenance and support of the fin-tech product;<br>- Development of functionality according to requirements;<br>- Refinement and improvement of the existing one, optimization."
Junior/Middle Python Engineer,"We are looking for a Junior/Middle Python Engineer with experience or readiness to do QA work for a part-time (10-20h per week) outstaff project.<br><br>Requirements:<br>- 2+ years of experience with Python<br>- Experience with QA<br>- Familiarity with CLI<br>- English level: Upper-Intermediate<br><br>We offer:<br>- cooperation with a stable company with well-established processes and a positive atmosphere;<br>- experience in project management of different levels of complexity, methodology, and approaches;<br>- a decent level of remuneration with regular reviews of the results of cooperation;<br>- corporate library for self-development;<br>- extensive loyalty program."
